# Fig. 3 upper left of https://arxiv.org/pdf/2506.02310v1
# line: INTEGRAL
# m [MeV] <sigmav> [cm^3/s]
1.00736e+0 1.55892e-27
1.27378e+0 1.78902e-27
1.57562e+0 2.16932e-27
1.96333e+0 2.70388e-27
2.59426e+0 3.76258e-27
3.96941e+0 6.52602e-27
7.24223e+0 1.57510e-26
1.44290e+1 4.73844e-26
1.86509e+1 7.16156e-26
2.05164e+1 7.56700e-26
2.25685e+1 6.77784e-26
2.59426e+1 4.36276e-26
3.16228e+1 2.07439e-26
4.05770e+1 7.48927e-27
4.76808e+1 4.20067e-27
6.25429e+1 2.29213e-27
7.18932e+1 1.83897e-27
9.22504e+1 1.51659e-27
1.26448e+2 1.47540e-27
1.47499e+2 1.55892e-27
1.79795e+2 1.89031e-27
2.12826e+2 2.22988e-27
2.71095e+2 2.93672e-27
4.27143e+2 5.53223e-27
5.64407e+2 8.13418e-27
6.25429e+2 9.08127e-27
7.96662e+2 1.16351e-26
1.01477e+3 1.41084e-26
