# Fig. 3 upper left of https://arxiv.org/pdf/2506.02310v1
# line: eROSITA
# m [MeV] <sigmav> [cm^3/s]
1.05053e+0 8.71906e-28
1.15054e+0 9.88568e-28
1.26007e+0 1.12559e-27
1.38002e+0 1.27980e-27
1.51140e+0 1.45514e-27
1.65528e+0 1.65450e-27
1.81286e+0 1.87059e-27
1.98545e+0 2.09116e-27
2.17446e+0 2.34104e-27
2.38147e+0 2.62078e-27
2.60818e+0 2.90922e-27
2.85647e+0 3.26145e-27
3.12841e+0 3.64089e-27
3.42623e+0 3.92913e-27
3.75240e+0 4.19261e-27
4.10963e+0 4.48007e-27
4.50086e+0 4.79399e-27
4.92933e+0 5.12992e-27
5.39860e+0 5.48938e-27
5.91254e+0 5.74291e-27
6.47541e+0 5.79174e-27
7.09186e+0 5.95750e-27
7.76700e+0 5.99122e-27
8.50641e+0 6.15401e-27
9.31621e+0 6.20632e-27
1.02031e+1 6.40200e-27
1.11744e+1 6.67880e-27
1.22382e+1 7.02681e-27
1.34033e+1 7.33063e-27
1.46793e+1 7.72350e-27
1.60767e+1 8.08021e-27
1.76072e+1 8.54936e-27
1.92834e+1 9.57096e-27
2.11191e+1 1.09747e-26
2.31297e+1 1.25489e-26
2.53316e+1 1.43287e-26
2.77431e+1 1.64303e-26
3.03842e+1 1.88668e-26
3.32768e+1 2.16646e-26
3.64447e+1 2.51596e-26
3.99142e+1 2.94253e-26
4.37140e+1 3.42689e-26
4.78755e+1 3.99098e-26
5.24332e+1 4.64792e-26
5.74248e+1 5.20332e-26
6.28916e+1 5.27726e-26
6.88788e+1 5.41300e-26
7.54360e+1 5.41300e-26
8.26174e+1 5.41300e-26
9.04825e+1 5.48992e-26
9.90963e+1 5.58366e-26
1.08530e+2 5.68703e-26
1.18862e+2 5.85806e-26
1.30178e+2 6.03423e-26
1.42570e+2 6.20693e-26
1.56143e+2 6.38458e-26
1.71008e+2 6.55806e-26
1.87287e+2 6.72675e-26
2.05117e+2 6.72675e-26
2.24644e+2 6.72675e-26
2.46030e+2 6.61381e-26
2.69452e+2 6.52115e-26
2.95103e+2 6.52115e-26
3.23196e+2 6.66064e-26
3.53964e+2 7.15759e-26
3.87661e+2 7.70249e-26
4.24566e+2 8.30057e-26
4.64985e+2 8.89475e-26
5.09251e+2 9.62607e-26
5.57731e+2 1.04028e-25
6.10826e+2 1.15804e-25
6.68976e+2 1.29276e-25
7.32662e+2 1.44316e-25
8.02411e+2 1.61333e-25
8.78799e+2 1.80357e-25
9.58490e+2 2.01538e-25
