# Fig. 4 right https://arxiv.org/pdf/1804.04132
# line: gamma=0
# m [GeV] sigmav [cm^3/s] (swave)
5.06933e+0 1.43857e-27
5.25411e+0 1.51052e-27
5.43851e+0 1.58455e-27
5.62938e+0 1.66280e-27
5.82695e+0 1.74430e-27
6.03146e+0 1.83044e-27
6.24314e+0 1.92564e-27
6.46226e+0 2.02435e-27
6.68906e+0 2.13116e-27
6.92382e+0 2.24041e-27
7.16683e+0 2.35694e-27
7.41836e+0 2.47775e-27
7.67872e+0 2.60662e-27
7.96425e+0 2.75081e-27
8.21131e+0 2.89475e-27
9.41482e+0 3.54611e-27
9.74525e+0 3.73655e-27
1.00662e+1 3.95789e-27
1.04125e+1 4.26164e-27
1.08078e+1 4.56772e-27
1.11871e+1 4.87044e-27
1.15797e+1 5.20357e-27
1.19861e+1 5.55297e-27
1.24068e+1 5.92370e-27
1.28422e+1 6.31920e-27
1.32929e+1 6.74350e-27
1.37595e+1 7.19372e-27
1.42424e+1 7.66853e-27
1.47422e+1 8.18343e-27
1.52597e+1 8.76414e-27
1.57952e+1 9.34464e-27
1.63220e+1 9.93464e-27
1.69234e+1 1.08117e-26
1.75173e+1 1.15996e-26
1.81321e+1 1.24449e-26
1.87685e+1 1.33519e-26
1.94272e+1 1.43249e-26
2.01091e+1 1.53633e-26
2.08148e+1 1.64888e-26
2.15453e+1 1.76842e-26
2.23015e+1 1.89729e-26
2.31519e+1 2.04847e-26
2.41203e+1 2.22821e-26
2.49668e+1 2.38612e-26
2.58430e+1 2.54906e-26
2.67500e+1 2.71925e-26
2.76889e+1 2.90080e-26
2.86607e+1 3.09557e-26
2.96666e+1 3.30342e-26
3.07078e+1 3.51392e-26
3.17855e+1 3.73516e-26
3.29011e+1 3.96892e-26
3.40558e+1 4.21730e-26
3.52510e+1 4.48283e-26
3.64882e+1 4.76508e-26
3.77688e+1 5.06329e-26
3.90944e+1 5.38208e-26
4.04665e+1 5.70666e-26
4.18867e+1 6.02495e-26
4.33568e+1 6.36326e-26
4.48785e+1 6.72057e-26
4.64535e+1 7.09794e-26
4.80839e+1 7.49651e-26
4.95573e+1 7.84113e-26
