# Fig. S2 right of https://arxiv.org/pdf/1708.09385
# line: tau
# m [GeV] sigmav (swave) [cm^3/s]
9.88965e-1 1.35451e-26
1.11737e+0 1.65740e-26
1.18802e+0 1.84625e-26
1.27190e+0 2.10953e-26
1.36927e+0 2.40857e-26
1.45428e+0 2.63409e-26
1.57435e+0 3.13267e-26
1.69428e+0 3.55120e-26
1.81307e+0 3.83061e-26
1.97266e+0 4.18864e-26
2.13741e+0 4.52811e-26
2.29467e+0 4.85107e-26
2.46350e+0 5.19870e-26
2.64475e+0 5.46148e-26
2.83934e+0 5.68991e-26
3.04824e+0 5.93116e-26
3.25496e+0 6.15934e-26
3.47271e+0 6.36079e-26
3.77177e+0 6.57999e-26
4.04927e+0 6.77534e-26
4.27762e+0 6.91640e-26
4.60718e+0 7.15250e-26
5.04285e+0 7.44240e-26
5.41388e+0 7.65252e-26
5.73766e+0 7.83786e-26
6.19968e+0 8.13512e-26
6.82988e+0 8.51372e-26
7.33238e+0 8.82875e-26
7.74587e+0 9.05946e-26
8.34264e+0 9.45666e-26
9.13154e+0 1.00331e-25
9.80339e+0 1.05378e-25
1.03228e+1 1.09133e-25
1.10823e+1 1.15067e-25
1.21303e+1 1.22612e-25
1.30228e+1 1.28901e-25
1.37129e+1 1.33343e-25
1.47218e+1 1.40448e-25
1.61139e+1 1.49983e-25
1.72995e+1 1.57007e-25
1.82161e+1 1.62249e-25
1.95564e+1 1.70009e-25
2.14057e+1 1.79354e-25
2.29806e+1 1.85640e-25
2.42765e+1 1.90311e-25
2.63161e+1 1.97422e-25
2.88047e+1 2.05365e-25
3.09239e+1 2.10765e-25
3.27734e+1 2.15027e-25
3.55269e+1 2.21419e-25
3.90121e+1 2.29017e-25
4.18824e+1 2.34595e-25
4.43872e+1 2.38550e-25
4.79615e+1 2.46791e-25
5.23700e+1 2.57890e-25
6.78149e+1 2.81587e-25
9.56584e+1 3.42676e-25
1.20761e+2 4.02394e-25
1.66605e+2 5.35405e-25
1.92510e+2 6.27985e-25
2.32415e+2 7.51569e-25
2.71478e+2 9.14619e-25
3.27841e+2 1.13309e-24
3.56943e+2 1.29964e-24
3.83205e+2 1.41618e-24
4.11399e+2 1.55757e-24
4.47405e+2 1.76033e-24
4.80322e+2 1.94371e-24
5.16137e+2 2.14358e-24
5.60793e+2 2.44934e-24
6.02053e+2 2.71216e-24
6.46945e+2 3.01047e-24
7.02918e+2 3.45010e-24
7.54635e+2 3.83294e-24
8.13149e+2 4.31344e-24
8.81062e+2 4.93136e-24
9.45886e+2 5.50189e-24
1.03311e+3 6.39165e-24
1.11151e+3 7.15246e-24
1.18561e+3 7.91661e-24
1.28626e+3 9.15238e-24
1.37978e+3 1.02595e-23
1.46702e+3 1.13720e-23
1.59156e+3 1.31112e-23
1.71280e+3 1.47929e-23
1.82110e+3 1.62945e-23
1.96934e+3 1.88312e-23
2.11252e+3 2.11202e-23
2.24610e+3 2.32905e-23
2.43678e+3 2.70643e-23
2.61395e+3 3.03895e-23
2.77923e+3 3.35142e-23
2.98853e+3 3.83705e-23
3.21359e+3 4.32304e-23
3.42783e+3 4.79098e-23
3.69789e+3 5.50746e-23
3.97637e+3 6.19457e-23
4.24146e+3 6.87935e-23
4.61641e+3 7.98238e-23
4.96806e+3 9.00626e-23
5.28220e+3 9.90114e-23
5.71369e+3 1.13432e-22
6.12748e+3 1.27058e-22
6.53598e+3 1.40301e-22
7.11376e+3 1.62438e-22
7.53312e+3 1.73664e-22
8.18942e+3 2.00598e-22
