R_ct=39, curr_dens=3.779453e-05, zp=2.389475e+01, R=4.303659e+02
R_ct=38, curr_dens=-1.192597e-05, zp=2.389475e+01, R=3.704293e+02
R_ct=37, curr_dens=-4.588404e-05, zp=2.389475e+01, R=3.188399e+02
R_ct=36, curr_dens=-4.942781e-05, zp=2.389475e+01, R=2.744354e+02
R_ct=35, curr_dens=4.694013e-05, zp=2.389475e+01, R=2.362150e+02
R_ct=34, curr_dens=1.519113e-04, zp=2.389475e+01, R=2.033176e+02
R_ct=33, curr_dens=-5.277769e-05, zp=2.389475e+01, R=1.750017e+02
R_ct=32, curr_dens=2.007622e-04, zp=2.389475e+01, R=1.506294e+02
R_ct=31, curr_dens=-1.567626e-04, zp=2.389475e+01, R=1.296514e+02
R_ct=30, curr_dens=6.561297e-04, zp=2.389475e+01, R=1.115950e+02
R_ct=29, curr_dens=-4.562899e-04, zp=2.389475e+01, R=9.605325e+01
R_ct=28, curr_dens=-3.036421e-04, zp=2.389475e+01, R=8.267600e+01
R_ct=27, curr_dens=2.879528e-04, zp=2.389475e+01, R=7.116180e+01
R_ct=26, curr_dens=1.341561e-03, zp=2.389475e+01, R=6.125116e+01
R_ct=25, curr_dens=-5.299867e-04, zp=2.389475e+01, R=5.272077e+01
R_ct=24, curr_dens=-3.128297e-03, zp=2.389475e+01, R=4.537840e+01
R_ct=23, curr_dens=-4.621112e-03, zp=2.389475e+01, R=3.905859e+01
R_ct=22, curr_dens=-1.647991e-03, zp=2.389475e+01, R=3.361894e+01
R_ct=21, curr_dens=3.692833e-03, zp=2.389475e+01, R=2.893686e+01
R_ct=20, curr_dens=1.581986e-02, zp=2.389475e+01, R=2.490685e+01
R_ct=19, curr_dens=2.638434e-02, zp=2.389475e+01, R=2.143810e+01
R_ct=18, curr_dens=2.986108e-02, zp=2.389475e+01, R=1.845243e+01
R_ct=17, curr_dens=2.981443e-02, zp=2.389475e+01, R=1.588258e+01
R_ct=16, curr_dens=2.919232e-02, zp=2.389475e+01, R=1.367063e+01
R_ct=15, curr_dens=2.497006e-02, zp=2.389475e+01, R=1.176673e+01
R_ct=14, curr_dens=1.487230e-02, zp=2.389475e+01, R=1.012799e+01
R_ct=13, curr_dens=-3.317833e-03, zp=2.389475e+01, R=8.717475e+00
R_ct=12, curr_dens=-2.229253e-02, zp=2.389475e+01, R=7.503400e+00
R_ct=11, curr_dens=-3.506620e-02, zp=2.389475e+01, R=6.458409e+00
R_ct=10, curr_dens=-4.074694e-02, zp=2.389475e+01, R=5.558952e+00
R_ct=9, curr_dens=-4.159005e-02, zp=2.389475e+01, R=4.784762e+00
R_ct=8, curr_dens=-4.022676e-02, zp=2.389475e+01, R=4.118393e+00
R_ct=7, curr_dens=-3.853247e-02, zp=2.389475e+01, R=3.544828e+00
R_ct=6, curr_dens=-3.742884e-02, zp=2.389475e+01, R=3.051143e+00
R_ct=5, curr_dens=-3.712587e-02, zp=2.389475e+01, R=2.626214e+00
R_ct=4, curr_dens=-3.746783e-02, zp=2.389475e+01, R=2.260463e+00
R_ct=3, curr_dens=-3.819514e-02, zp=2.389475e+01, R=1.945651e+00
R_ct=2, curr_dens=-3.907943e-02, zp=2.389475e+01, R=1.674682e+00
R_ct=1, curr_dens=-3.996598e-02, zp=2.389475e+01, R=1.441450e+00
R_ct=0, curr_dens=-4.388232e-02, zp=2.389475e+01, R=1.240701e+00
